product_name,brand,ingredients,product_tags,energy_kj,energy_kcal,protein,fat_total,fat_saturated,carbs_total,carbs_sugar,fiber,salt,price_per_100g,price_per_100g_protein,protein_type
Organic Plant Protein Powder – Maple Cinnamon French Toast,plnt,"Protein blend, ['organic pea protein', 'organic hemp protein', 'organic goji berry'], organic natural flavors, sea salt, organic medium chain triglycerides oil, organic guar gum, organic stevia leaf extract, ['steviol glycosides'], organic cinnamon","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1607,384,60.0,0.0,0.0,16.8,0,,2,3.37,5.62,Plant-based
Protein Pancake Mix,Bulk,"Milk Protein Concentrate, Oat Flour, Whey Protein Concentrate, ['Milk'], Raising Agent, ['Sodium Bicarbonate'], Thickener, ['Xanthan Gum']","vegetarian, halal, soy free, WPC, whey",1521,359,56.0,3.0,1.1,26.0,3.1,2,1.68,3.15,5.63,Animal-based
100% Natural Whey Protein Isolate,Isopure,"Ion Exchange Whey, ['milk'], Protein Isolate, Microfiltered Whey, ['milk'], Protein Isolate, soy lecithin","vegetarian, gluten free",1381,330,78.0,0.0,0.0,0.0,0,,1,4.39,5.63,Animal-based
Select Whey & Casein Protein Blend Isolate,PEScience,"Ultra Premium Protein Blend, ['Milk Protein Isolate [comprised of casein protein and whey protein]', 'Whey Protein Concentrate 80%', 'Leucine Peptides'], Sodium Chloride, Natural and Artificial Flavors, Guar Gum, Sucralose, Acesulfame Potassium, Ground Vanilla Beans","vegetarian, soy free, gluten free, WPC, whey",1552,371,76.8,0.0,0.0,8.0,4.8,,2,4.29,5.64,Animal-based
Micropure Whey Protein Isolate,Kaged Muscle,"Whey Protein Isolate, Cocoa Powder, ['Processed with Alkali'], Natural Flavor, Sea Salt, Gum Blend, ['Guar Gum', 'Gum Acacia', 'Xanthan Gum'], ProHydrolase, ['Protease Blend'], Stevia Glycosides, Sucralose","vegetarian, soy free, gluten free, WPI, whey",1506,360,75.0,0.0,0.0,9.0,3,,1,4.27,5.69,Animal-based
Kasein Micellar Casein Isolate,Kaged Muscle,"Natural Flavors, Cocoa Powder processed with Alkali, Coconut Creamer, ['non-fat dry coconut milk', 'non-GMO maltodextrin', 'coconut oil', 'gum acacia', 'sunflower lecithin', 'tricalcium phosphate'], Gum Blend, ['gum acacia', 'guar gum', 'xanthan gum'], Stevia Extract, Sucralose, Sea Salt","vegetarian, soy free, gluten free",1088,260,52.0,0.0,0.0,8.0,0,,0,2.99,5.75,Animal-based
Whey Protein Isolate Powder,BodyTech,"Whey protein isolate, sunflower lecithin","vegetarian, soy free, gluten free, WPI, whey",1473,352,80.0,0.0,0.0,3.2,0,,1,4.74,5.93,Animal-based
Whey Protein Isolate,Jay Robb Enterprises,"Cold-processed cross-flow microfiltered whey protein isolate, natural flavor, xanthan gum, lecithin, stevia","vegetarian, soy free, gluten free, WPI, whey",1427,341,77.5,0.0,0.0,6.2,3.1,,1,4.64,6.03,Animal-based
Vegan Protein Extreme,ProteinWorks,"Protein Blend [Soy Protein Isolate, Pea Protein Isolate, Pumpkin Seed Protein, Organic Sunflower Protein, Brown Rice Protein], Flaxseed Powder, Flavouring, Vitamin & Mineral Blend, ['Tricalcium Phosphate', 'Vitamin C', 'Vitamin B5', 'Vitamin B6', 'Folic Acid', 'Vitamin B12'], Sweetener, ['Sucralose'], DigeZyme®, ['Amylase', 'Protease', 'Cellulase', 'Beta-D-Galactosidase', 'Lipase']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1600,382,85.0,2.3,0.3,4.9,0.1,1,2.3,5.13,6.04,Plant-based
Organic Plant Protein Powder Chocolate Peanut Butter,plnt,"Protein blend, ['organic pea protein', 'organic hemp protein', 'organic goji berry'], organic peanut flour, organic natural flavors, organic dutch cocoa, sea salt, organic medium chain triglycerides oil, organic guar gum, organic stevia leaf extract, ['steviol glycosides']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1636,391,57.5,0.0,0.0,16.1,0,,2,3.5,6.14,Plant-based
Micellar Casein Protein Powder Slow Release & Anti Catabolic,BodyTech,"Micellar casein, natural and artificial flavor, cellulose gum, xanthan gum, carrageenan, sodium chloride, acesulfame potassium, sucralose, Aminogen®, ['from Aspergillus niger and Aspergillus oryzae']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1004,240,57.6,0.0,0.0,4.8,0,,1,3.55,6.23,Animal-based
